Unnamed: 0,item_id,name,category,price,link,short_description,designer,depth,height,width
3209,59252190,TINGBY / LEIFARNE,Tables & desks,2165.0,https://www.ikea.com/sa/en/p/tingby-leifarne-table-and-6-chairs-white-white-s59252190/,"        Table and 6 chairs,          180x90 cm",Mikael Warnhammar/Mia Lagerman,,,
3210,59305042,LISABO / ODGER,Tables & desks,1875.0,https://www.ikea.com/sa/en/p/lisabo-odger-table-and-4-chairs-ash-veneer-anthracite-s59305042/,"        Table and 4 chairs,          140x78 cm",K Hagberg/M Hagberg/J Löfgren/J Pettersson,,74.0,78.0
3211,59305061,MÖRBYLÅNGA / ODGER,Tables & desks,4265.0,https://www.ikea.com/sa/en/p/moerbylanga-odger-table-and-6-chairs-oak-veneer-anthracite-s59305061/,"        Table and 6 chairs,          220x100 cm",S Lanneskog/J Marnell/J Löfgren/J Pettersson,,,100.0
3212,59305155,NORDVIKEN / NORDVIKEN,Tables & desks,2395.0,https://www.ikea.com/sa/en/p/nordviken-nordviken-table-and-4-chairs-black-black-s59305155/,"        Table and 4 chairs,          152/223x95 cm",Francis Cayouette,,,95.0
3213,69161203,RYDEBÄCK/BACKARYD / JANINGE,Tables & desks,1215.0,https://www.ikea.com/sa/en/p/rydebaeck-backaryd-janinge-table-and-4-chairs-white-yellow-s69161203/,"        Table and 4 chairs,          150 cm",IKEA of Sweden/John/Jonas/Petrus/Paul/Caroline/David Wahl,,75.0,78.0
3214,69221320,EKEDALEN / HENRIKSDAL,Tables & desks,4565.0,https://www.ikea.com/sa/en/p/ekedalen-henriksdal-table-and-6-chairs-dark-brown-glose-black-s69221320/,"        Table and 6 chairs,          180/240 cm",Karl Malmvall/Ehlén Johansson,,,
3215,69221339,EKEDALEN / HENRIKSDAL,Tables & desks,1975.0,https://www.ikea.com/sa/en/p/ekedalen-henriksdal-table-and-4-chairs-white-orrsta-light-grey-s69221339/,"        Table and 4 chairs,          120/180 cm",Ehlén Johansson/IKEA of Sweden,,,
3216,69221438,EKEDALEN / ODGER,Tables & desks,1975.0,https://www.ikea.com/sa/en/p/ekedalen-odger-table-and-4-chairs-brown-white-beige-s69221438/,"        Table and 4 chairs,          120/180 cm",Ehlén Johansson/J Löfgren/J Pettersson,,,
3217,69251821,MÖRBYLÅNGA / VOLFGANG,Tables & desks,3795.0,https://www.ikea.com/sa/en/p/moerbylanga-volfgang-table-and-4-chairs-brown-bomstad-black-s69251821/,"        Table and 4 chairs,          140x85 cm",S Lanneskog/J Marnell/IKEA of Sweden,,74.0,85.0
3218,69297230,NORRÅKER / RÖNNINGE,Tables & desks,1976.0,https://www.ikea.com/sa/en/p/norraker-roenninge-table-and-4-chairs-birch-green-s69297230/,"        Table and 4 chairs,          125x74 cm",Maja Ganszyniec/J Karlsson/N Karlsson,,,74.0
3219,69304221,EKEDALEN / EKEDALEN,Tables & desks,2176.0,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-bar-table-and-4-bar-stools-dark-brown-orrsta-light-grey-s69304221/,        Bar table and 4 bar stools,Ehlén Johansson,,,
3220,69305174,NORDVIKEN / NORRARYD,Tables & desks,2535.0,https://www.ikea.com/sa/en/p/nordviken-norraryd-table-and-4-chairs-white-black-s69305174/,"        Table and 4 chairs,          152/223x95 cm",Francis Cayouette/Nike Karlsson,,,95.0
3221,69325855,KLIMPEN / TORSKLINT,Tables & desks,950.0,https://www.ikea.com/sa/en/p/klimpen-torsklint-table-light-grey-s69325855/,"        Table,          150x75 cm",Tina Christensen/Jomi Evers,,73.0,75.0
3222,79213895,KLIMPEN,Tables & desks,1390.0,https://www.ikea.com/sa/en/p/klimpen-table-grey-light-grey-s79213895/,"        Table,          150x75 cm",Tina Christensen,,73.0,75.0
